"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"F1001C01","Population at Each Census","1841","1841","-","State","-","Both sexes","Number","6528799"
"F1001C01","Population at Each Census","1841","1841","-","State","1","Male","Number","3222485"
"F1001C01","Population at Each Census","1841","1841","-","State","2","Female","Number","3306314"
"F1001C01","Population at Each Census","1841","1841","01","Carlow","-","Both sexes","Number","86228"
"F1001C01","Population at Each Census","1841","1841","01","Carlow","1","Male","Number","42428"
"F1001C01","Population at Each Census","1841","1841","01","Carlow","2","Female","Number","43800"
"F1001C01","Population at Each Census","1841","1841","02","Dublin","-","Both sexes","Number","372773"
"F1001C01","Population at Each Census","1841","1841","02","Dublin","1","Male","Number","170930"
"F1001C01","Population at Each Census","1841","1841","02","Dublin","2","Female","Number","201843"
"F1001C01","Population at Each Census","1841","1841","03","Kildare","-","Both sexes","Number","114488"
"F1001C01","Population at Each Census","1841","1841","03","Kildare","1","Male","Number","58030"
"F1001C01","Population at Each Census","1841","1841","03","Kildare","2","Female","Number","56458"
"F1001C01","Population at Each Census","1841","1841","04","Kilkenny","-","Both sexes","Number","202420"
"F1001C01","Population at Each Census","1841","1841","04","Kilkenny","1","Male","Number","99114"
"F1001C01","Population at Each Census","1841","1841","04","Kilkenny","2","Female","Number","103306"
"F1001C01","Population at Each Census","1841","1841","05","Laois","-","Both sexes","Number","153930"
"F1001C01","Population at Each Census","1841","1841","05","Laois","1","Male","Number","76403"
"F1001C01","Population at Each Census","1841","1841","05","Laois","2","Female","Number","77527"
"F1001C01","Population at Each Census","1841","1841","06","Longford","-","Both sexes","Number","115491"
"F1001C01","Population at Each Census","1841","1841","06","Longford","1","Male","Number","57610"
"F1001C01","Population at Each Census","1841","1841","06","Longford","2","Female","Number","57881"
"F1001C01","Population at Each Census","1841","1841","07","Louth","-","Both sexes","Number","128240"
"F1001C01","Population at Each Census","1841","1841","07","Louth","1","Male","Number","62297"
"F1001C01","Population at Each Census","1841","1841","07","Louth","2","Female","Number","65943"
"F1001C01","Population at Each Census","1841","1841","08","Meath","-","Both sexes","Number","183828"
"F1001C01","Population at Each Census","1841","1841","08","Meath","1","Male","Number","92494"
"F1001C01","Population at Each Census","1841","1841","08","Meath","2","Female","Number","91334"
"F1001C01","Population at Each Census","1841","1841","09","Offaly","-","Both sexes","Number","146857"
"F1001C01","Population at Each Census","1841","1841","09","Offaly","1","Male","Number","72651"
"F1001C01","Population at Each Census","1841","1841","09","Offaly","2","Female","Number","74206"
"F1001C01","Population at Each Census","1841","1841","10","Westmeath","-","Both sexes","Number","141300"
"F1001C01","Population at Each Census","1841","1841","10","Westmeath","1","Male","Number","70383"
"F1001C01","Population at Each Census","1841","1841","10","Westmeath","2","Female","Number","70917"
"F1001C01","Population at Each Census","1841","1841","11","Wexford","-","Both sexes","Number","202033"
"F1001C01","Population at Each Census","1841","1841","11","Wexford","1","Male","Number","97918"
"F1001C01","Population at Each Census","1841","1841","11","Wexford","2","Female","Number","104115"
"F1001C01","Population at Each Census","1841","1841","12","Wicklow","-","Both sexes","Number","126143"
