"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M01","2023 January","3","Business","Thousand","50.1"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M01","2023 January","1","Holiday/leisure/recreation","Thousand","107.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M01","2023 January","2","Visit to friends/relatives","Thousand","217"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M01","2023 January","4","Other reason for journey","Thousand","25"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M01","2023 January","-","All reasons for journey","Thousand","400"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M02","2023 February","3","Business","Thousand","64"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M02","2023 February","1","Holiday/leisure/recreation","Thousand","98.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M02","2023 February","2","Visit to friends/relatives","Thousand","136"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M02","2023 February","4","Other reason for journey","Thousand","38.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M02","2023 February","-","All reasons for journey","Thousand","337"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M03","2023 March","3","Business","Thousand","74.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M03","2023 March","1","Holiday/leisure/recreation","Thousand","164.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M03","2023 March","2","Visit to friends/relatives","Thousand","148.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M03","2023 March","4","Other reason for journey","Thousand","37.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M03","2023 March","-","All reasons for journey","Thousand","425.2"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M04","2023 April","3","Business","Thousand","62.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M04","2023 April","1","Holiday/leisure/recreation","Thousand","168.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M04","2023 April","2","Visit to friends/relatives","Thousand","197.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M04","2023 April","4","Other reason for journey","Thousand","32.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M04","2023 April","-","All reasons for journey","Thousand","461.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M05","2023 May","3","Business","Thousand","74.1"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M05","2023 May","1","Holiday/leisure/recreation","Thousand","227.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M05","2023 May","2","Visit to friends/relatives","Thousand","205.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M05","2023 May","4","Other reason for journey","Thousand","66.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M05","2023 May","-","All reasons for journey","Thousand","573.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M06","2023 June","3","Business","Thousand","88.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M06","2023 June","1","Holiday/leisure/recreation","Thousand","264.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M06","2023 June","2","Visit to friends/relatives","Thousand","205.2"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M06","2023 June","4","Other reason for journey","Thousand","61.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M06","2023 June","-","All reasons for journey","Thousand","619.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M07","2023 July","3","Business","Thousand","71.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M07","2023 July","1","Holiday/leisure/recreation","Thousand","292.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M07","2023 July","2","Visit to friends/relatives","Thousand","226.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M07","2023 July","4","Other reason for journey","Thousand","58.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M07","2023 July","-","All reasons for journey","Thousand","650.2"
