address,venue,venue_rating,venue_userRatingCount,venue_type
"The Helix, Collins Ave, Whitehall, Dublin",The Helix,4.6,3617.0,event_venue
"Backstage Theatre, Farneyhoogan, Farranyoogan, Longford",Backstage Theatre,4.7,303.0,event_venue
"Gleneagle INEC Arena, Muckross Rd, Poulnamuck, Killarney, Kerry",Gleneagle INEC Arena,4.5,2148.0,event_venue
"Vintage Tea Trips, Stephen Court, 20-22 St Stephen's Green, Dublin, Dublin",Vintage Tea Trips,4.9,1185.0,tourist_attraction
"Skypark of Carlingford, Dundalk Rd, Moneymore, Louth",Skypark,4.6,777.0,tourist_attraction
"The Glenmalure Lodge, Wicklow Way, Ballyboy, Glenmalure, Wicklow",The Glenmalure Lodge,4.7,1643.0,hotel
"The Tree Of Gold, 38 Dame St, Temple Bar, Dublin",The Tree Of Gold,4.1,29.0,point_of_interest
"Christ Church Cathedral, Church of Ireland, 1 Cathedral Square, Waterford",Christ Church Cathedral,4.5,242.0,tourist_attraction
"Tulfarris Hotel & Golf Resort - Wicklow Hotel, Tulfarris, Blessington Lakes, Wicklow",Tulfarris Hotel & Golf Resort - Wicklow Hotel,4.5,2374.0,hotel
"Printworks Event and Exhibition Centre, Dublin Castle, Dame St, Dublin, Dublin",Dublin Castle,4.5,88.0,event_venue
"Beyond the Trees Avondale, Avondale, Forest Park, Avondale, Rathdrum, Wicklow",Beyond the Trees Avondale,4.6,5021.0,tourist_attraction
"3Olympia Theatre, 72 Dame St, Temple Bar, Dublin, Dublin",3Olympia Theatre,4.5,6002.0,performing_arts_theater
"Brigit's Garden & Café, Pollagh, Rosscahill, Galway",Brigit's Garden & Café,4.6,1069.0,gift_shop
"Dublinia, St Michaels Hill Christ Church, Merchants Quay, Dublin, Dublin",Dublinia,4.5,6113.0,tourist_attraction
"Cork Comedy Club - City Limits, Cork Comedy Club, City Limits, 16 Coburg St, Victorian Quarter, Cork",The Comedy Club - City Limits,4.7,330.0,point_of_interest
"National Concert Hall, Earlsfort Terrace, Saint Kevin's, Dublin",National Concert Hall,4.7,4599.0,event_venue
"An Táin Arts Centre, Crowe St, Townparks, Dundalk, Louth",An Táin Arts Centre,4.6,258.0,movie_theater
"James Joyce Centre, James Joyce House, 35 N Great George's St, Rotunda, Basement, Dublin",James Joyce Centre,4.3,550.0,museum
"National Opera House, High St, Townparks, Wexford",National Opera House,4.8,1394.0,performing_arts_theater
"Abbey Theatre, 26/27 Abbey Street Lower, North City, Dublin, Dublin",Abbey Theatre,4.7,1793.0,performing_arts_theater
"Triskel Arts Centre, Tobin St, Centre, Cork",Triskel Arts Centre,4.6,510.0,movie_theater
"The Pumphouse, Alexandra Terminal, Alexandra Rd, Dublin Port, Dublin, Dublin",The Pumphouse,4.2,6.0,performing_arts_theater
"Rathcroghan Visitor Centre, Tulsk, Roscommon",Rathcroghan Visitor Centre,4.7,239.0,community_center
"St Patrick's Cathedral, St Patrick's Close, Dublin",St Patrick's Cathedral,4.5,22403.0,tourist_attraction
"St. Patrick’s Park, Bull Alley St, Dublin",St. Patrick’s Park,4.6,4434.0,park
